"","size","size","dist","test","p.value","z","type"
"337",10,10,"Log-normal","shapiro.test",0.999724814410108,0.53,"SL"
"338",10,10,"Gamma","ad.test",0.991063778407261,0.53,"SL"
"339",10,10,"Uniform","energy.test",1,0.45,"SL"
"340",10,10,"t","cvm.test",0.992594764798661,0.53,"SL"
"341",10,10,"Log-normal","lillie.test",0.991783735584513,0.82,"SB"
"342",10,10,"Gamma","pearson.test",0.849467033391825,0.42,"SL"
"343",10,10,"Uniform","sf.test",0.999951003791307,0.54,"SL"
"344",10,10,"t","jarque.test",0.990997730100709,0.89,"SB"
"345",10,10,"Log-normal","shapiro.test",0.982611636725658,0.6,"SU"
"346",10,10,"Gamma","ad.test",0.927062539476613,0.46,"SU"
"347",10,10,"Uniform","energy.test",1,0.51,"SU"
"348",10,10,"t","cvm.test",0.948205764667084,0.44,"SU"
"349",10,10,"Log-normal","lillie.test",0.949297719272897,0.27,"SU"
"350",10,10,"Gamma","pearson.test",0.849467033391825,0.26,"SU"
"351",10,10,"Uniform","sf.test",0.959661489863751,0.5,"SU"
"352",10,10,"t","jarque.test",0.994337845479634,0.7,"SU"
"353",10,10,"Log-normal","shapiro.test",0.664138676738794,0.37,"SL"
"354",10,10,"Gamma","ad.test",0.786650301928391,0.37,"SL"
"355",10,10,"Uniform","energy.test",0.818181818181818,0.33,"SU"
"356",10,10,"t","cvm.test",0.856412079166421,0.37,"SL"
"357",10,10,"Log-normal","lillie.test",0.93342808349315,0.36,"SL"
"358",10,10,"Gamma","pearson.test",0.849467033391825,0.35,"SL"
"359",10,10,"Uniform","sf.test",0.815747159487711,0.38,"SL"
"360",10,10,"t","jarque.test",0.999672786398896,1.03,"SB"
"361",10,10,"Log-normal","shapiro.test",0.766923783086914,0.97,"SB"
"362",10,10,"Gamma","ad.test",0.523515994160176,0.96,"SB"
"363",10,10,"Uniform","energy.test",0.626262626262626,0.91,"SB"
"364",10,10,"t","cvm.test",0.59295804104765,0.67,"SL"
"365",10,10,"Log-normal","lillie.test",0.67571006868914,0.67,"SL"
"366",10,10,"Gamma","pearson.test",0.572406704470879,0.49,"SL"
"367",10,10,"Uniform","sf.test",0.4641048389168,0.96,"SB"
"368",10,10,"t","jarque.test",0.945463620970733,1.03,"SB"
"369",10,10,"Log-normal","shapiro.test",0.905903505829432,0.79,"SB"
"370",10,10,"Gamma","ad.test",0.724943428835863,0.79,"SB"
"371",10,10,"Uniform","energy.test",0.828282828282828,0.8,"SL"
"372",10,10,"t","cvm.test",0.781270927110463,0.71,"SL"
"373",10,10,"Log-normal","lillie.test",0.760864777791307,0.71,"SL"
"374",10,10,"Gamma","pearson.test",0.849467033391825,0.63,"SB"
"375",10,10,"Uniform","sf.test",0.675325541032337,0.79,"SB"
"376",10,10,"t","jarque.test",0.995629013137441,0.78,"SB"
"377",10,10,"Log-normal","shapiro.test",0.973060728349462,0.6,"SL"
"378",10,10,"Gamma","ad.test",0.901113317772837,0.6,"SL"
"379",10,10,"Uniform","energy.test",0.95959595959596,0.55,"SL"
"380",10,10,"t","cvm.test",0.91086218351951,0.6,"SL"
"381",10,10,"Log-normal","lillie.test",0.903551458280105,0.6,"SL"
"382",10,10,"Gamma","pearson.test",0.849467033391825,0.49,"SL"
"383",10,10,"Uniform","sf.test",0.899619460154699,0.6,"SL"
"384",10,10,"t","jarque.test",0.979024588388811,0.95,"SB"
"385",10,10,"Log-normal","shapiro.test",0.603648198164392,0.59,"SB"
"386",10,10,"Gamma","ad.test",0.552985711732184,0.52,"SL"
"387",10,10,"Uniform","energy.test",0.646464646464646,0.52,"SL"
"388",10,10,"t","cvm.test",0.70690983812194,0.52,"SL"
"389",10,10,"Log-normal","lillie.test",0.74701161267052,0.61,"SB"
"390",10,10,"Gamma","pearson.test",0.572406704470879,NA,NA
"391",10,10,"Uniform","sf.test",0.619578105515497,0.55,"SB"
"392",10,10,"t","jarque.test",0.894909447290322,0.59,"SB"
"393",10,10,"Log-normal","shapiro.test",0.86534850437414,0.91,"SB"
"394",10,10,"Gamma","ad.test",0.715711527869966,0.59,"SL"
"395",10,10,"Uniform","energy.test",0.828282828282828,0.86,"SB"
"396",10,10,"t","cvm.test",0.721228340546278,0.59,"SL"
